Student name,semester new,coursename
Robert Ludlum,Fall 2005,ANALYTICAL MECHANICS
Robert Ludlum,Spring 2005,20th Century Russian Literature: Fiction and Reality
Robert Ludlum,Summer 2000,CONTEMPORARY AFRICAN ART
Robert Ludlum,Fall 2000,A WORLD AT WAR
Robert Ludlum,Spring 2001,EXPERIMENTAL WRITING SEM
Robert Ludlum,Spring 2005,19TH-CENT BRITISH LIT
Robert Ludlum,Spring 2004,ELEMENTARY GERMAN 1
Robert Ludlum,Spring 2002,ELEMENTARY FRENCH I
Robert Ludlum,Spring 2002,ELEMENTARY FRENCH II
Gov. George Pataki,Fall 2004,BEHAVIORAL PHARMACOLOGY
Gov. George Pataki,Spring 2005,AMERICAN FOREIGN POLICY
Gov. George Pataki,Fall 2003,COMPUT LINEAR ALGEBRA
Gov. George Pataki,Fall 2003,Environmental Case Studies
Gov. George Pataki,Spring 2004,AMERICAN HEALT POLICY
Gov. George Pataki,Spring 2001,AFRICAN-AMERICAN LIT: AFRICAN-AMER LIT:CHANGE
Gov. George Pataki,Spring 2002,"BEING HUMAN: Being Human: Biology, Culture & Human Diversity"
Gov. George Pataki,Spring 2004,EDGAR ALLAM POE'S SCIEN
Gov. George Pataki,Spring 2002,ANALYTICAL MECHANICS
Gov. George Pataki,Summer 2001,CONTEMPORARY AFRICAN ART
Gov. George Pataki,Spring 2001,FRESHWATER ECOLOGY
Gov. George Pataki,Fall 2004,A WORLD AT WAR
Gov. George Pataki,Spring 2005,ELEMENTARY ARABIC II
Sark,Fall 2004,BEHAVIORAL PHARMACOLOGY
Sark,Fall 2005,AMERICAN FOREIGN POLICY
Sark,Spring 2002,CURR ISSUES GLOBAL HEALT
Sark,Spring 2003,DEVIL'S PACT LIT/FILM
Sark,Fall 2005,COMPUT LINEAR ALGEBRA
Sark,Fall 2004,Environmental Case Studies
Sark,Spring 2002,AMERICAN HEALT POLICY
Sark,Spring 2001,ANALYTICAL MECHANICS
Sark,Spring 2004,COMMUNICATIONS INTERNSHP
Sark,Spring 2003,CONTEMPORARY AFRICAN ART
Sark,Fall 2002,A WORLD AT WAR
Sark,Fall 2003,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
Sark,Spring 2004,ELEMENTARY FRENCH I
Sark,Spring 2001,COMPARATIVE POLITICS
Mary Lou Retton,Fall 2003,BEHAVIORAL PHARMACOLOGY
Mary Lou Retton,Spring 2001,AMERICAN FOREIGN POLICY
Mary Lou Retton,Spring 2001,AMERICAN HEALTH POLICY
Mary Lou Retton,Spring 2005,CONTEMPORARY POL.THOUGHT
Mary Lou Retton,Fall 2000,ENVIRONMENTAL SYSTEMS II
Mary Lou Retton,Fall 2003,AMERICAN HEALT POLICY
Mary Lou Retton,Fall 2000,COMPUTER LINEAR ALGEBRA
Mary Lou Retton,Fall 2001,ANALYTICAL MECHANICS
Mary Lou Retton,Spring 2002,20th Century Russian Literature: Fiction and Reality
Mary Lou Retton,Spring 2004,COMMUNICATIONS INTERNSHP
Mary Lou Retton,Spring 2005,CONTEMPORARY AFRICAN ART
Mary Lou Retton,Fall 2004,A WORLD AT WAR
Mary Lou Retton,Spring 2004,ELEMENTARY ARABIC II
Arthur Miller,Fall 2004,COMPUT LINEAR ALGEBRA
Arthur Miller,Fall 2003,A WORLD AT WAR
Sharon Davis,Spring 2004,COMPUT LINEAR ALGEBRA
Jeri Ryan,Summer 2003,FOOD/FEAST ARCH OF TABLE
Jeri Ryan,Summer 2004,COMPUT LINEAR ALGEBRA
Jeri Ryan,Summer 2002,Environmental Case Studies
Jeri Ryan,Summer 2003,ACCELERATED INTERMD GRMN
Jeri Ryan,Summer 2004,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
Hugh Downs,Fall 2000,BEHAVIORAL PHARMACOLOGY
Hugh Downs,Fall 2001,COMPUT LINEAR ALGEBRA
Hugh Downs,Fall 2001,Environmental Case Studies
Hugh Downs,Spring 2001,AFRICAN-AMERICAN LIT: AFRICAN-AMER LIT:CHANGE
Hugh Downs,Fall 2004,ANALYTICAL MECHANICS
Hugh Downs,Spring 2002,20th Century Russian Literature: Fiction and Reality
Hugh Downs,Fall 2005,CONTEMPORARY AFRICAN ART
Hugh Downs,Fall 2000,A WORLD AT WAR
Hugh Downs,Fall 2003,FOOD/FEAST ARCH OF TABLE
Hugh Downs,Fall 2003,DIGITAL MEDIA & THE CITY
Hugh Downs,Fall 2004,20TH-CENT POETRY
Hugh Downs,Spring 2001,19TH-CENT BRITISH LIT
Hugh Downs,Fall 2005,AMERICAN SOUTH 1861-PRES
Peter Max,Spring 2004,BEHAVIORAL PHARMACOLOGY
Peter Max,Spring 2005,FOOD/FEAST ARCH OF TABLE
Peter Max,Spring 2001,COMPUT LINEAR ALGEBRA
Peter Max,Spring 2002,Environmental Case Studies
Peter Max,Summer 2001,ANALYTICAL MECHANICS
Peter Max,Summer 2004,COMMUNICATIONS INTERNSHP
Peter Max,Spring 2002,A WORLD AT WAR
Peter Max,Summer 2002,FRANCE & THE EUROP.UNION
Lucy Arnaz,Fall 2004,BEHAVIORAL PHARMACOLOGY
Lucy Arnaz,Fall 2004,CREATIVE WRITING: WRITING PERSONAL ESSAY
Lucy Arnaz,Spring 2001,AMERICAN FOREIGN POLICY
Lucy Arnaz,Spring 2004,COMPUT LINEAR ALGEBRA
Lucy Arnaz,Spring 2003,Environmental Case Studies
Lucy Arnaz,Summer 2001,AMERICAN HEALT POLICY
Lucy Arnaz,Spring 2004,ANALYTICAL MECHANICS
Lucy Arnaz,Summer 2001,COMMUNICATIONS INTERNSHP
Lucy Arnaz,Summer 2002,CONTEMPORARY AFRICAN ART
Lucy Arnaz,Fall 2003,A WORLD AT WAR
Lucy Arnaz,Fall 2003,FOOD/FEAST ARCH OF TABLE
Lucy Arnaz,Spring 2005,ELEMENTARY FRENCH I
Lucy Arnaz,Spring 2005,COMPARATIVE POLITICS
Stephen King,Summer 2001,BEHAVIORAL PHARMACOLOGY
Stephen King,Fall 2000,"ANAL METH ECON, LAW MED"
Stephen King,Fall 2003,COMPUT LINEAR ALGEBRA
Stephen King,Fall 2003,Environmental Case Studies
Stephen King,Spring 2002,"BEING HUMAN: Being Human: Biology, Culture & Human Diversity"
Stephen King,Fall 2002,ANALYTICAL MECHANICS
Stephen King,Spring 2005,20th Century Russian Literature: Fiction and Reality
Stephen King,Summer 2001,CONTEMPORARY AFRICAN ART
Stephen King,Summer 2000,FR FOR PROFESSIONS I
Stephen King,Spring 2002,AUGUSTAN CULTRL REVOL
Chris Madden,Summer 2004,FOOD/FEAST ARCH OF TABLE
Armand Assante,Fall 2004,BEHAVIORAL PHARMACOLOGY
Armand Assante,Spring 2001,AMERICAN FOREIGN POLICY
Armand Assante,Fall 2003,COMPUT LINEAR ALGEBRA
Armand Assante,Spring 2005,CONTEMPORARY POL.THOUGHT
Armand Assante,Fall 2003,Environmental Case Studies
Armand Assante,Spring 2001,AFRICAN-AMERICAN LIT: AFRICAN-AMER LIT:CHANGE
Armand Assante,Spring 2002,20th Century Russian Literature: Fiction and Reality
Armand Assante,Summer 2000,CONTEMPORARY AFRICAN ART
Armand Assante,Fall 2004,A WORLD AT WAR
Armand Assante,Spring 2002,19TH-CENT BRITISH LIT
Armand Assante,Spring 2003,AMERICAN SOUTH 1861-PRES
Armand Assante,Spring 2004,ELEMENTARY ARABIC II
Armand Assante,Spring 2005,ELEMENTARY FRENCH I
Tara Lapinski,Summer 2004,BEHAVIORAL PHARMACOLOGY
Tara Lapinski,Summer 2004,COMPUT LINEAR ALGEBRA
Tara Lapinski,Summer 2002,Environmental Case Studies
Tara Lapinski,Summer 2003,BRITAIN SINCE 1945
Tara Lapinski,Summer 2003,ACCELERATED INTERMD GRMN
Tara Lapinski,Summer 2004,CELL BIOLOGY and BIOCHEM
Sylvia Miles,Fall 2003,"DRUGS, BRAIN AND MIND"
Sylvia Miles,Fall 2004,CONTEMPORARY AFRICAN ART
Ali MacGraw,Fall 2001,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
Frances Lear,Fall 2003,BEHAVIORAL PHARMACOLOGY
Frances Lear,Fall 2004,AMERICAN FOREIGN POLICY
Frances Lear,Fall 2004,COMPUT LINEAR ALGEBRA
Frances Lear,Fall 2002,Environmental Case Studies
Frances Lear,Summer 2000,BRITAIN SINCE 1945
Frances Lear,Summer 2000,ACCELERATED INTERMD GRMN
Frances Lear,Fall 2005,ANALYTICAL MECHANICS
Frances Lear,Summer 2004,COMMUNICATIONS INTERNSHP
Frances Lear,Summer 2004,CONTEMPORARY AFRICAN ART
Frances Lear,Fall 2002,A WORLD AT WAR
Frances Lear,Fall 2001,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
Frances Lear,Summer 2001,EUROPE IN A WIDER WORLD
Frances Lear,Fall 2003,EXPERIMENTAL WRITING SEM
Frances Lear,Spring 2005,AUGUSTAN CULTRL REVOL
Jennifer Granholm,Spring 2003,BEHAVIORAL PHARMACOLOGY
Steve Hamilton,Fall 2002,AMERICAN HEALTH POLICY
Jennifer Granholm,Summer 2004,COMPUT LINEAR ALGEBRA
Steve Hamilton,Fall 2002,CONTEMPORARY POL.THOUGHT
Jennifer Granholm,Spring 2005,Environmental Case Studies
Steve Hamilton,Fall 2003,CONTEMPORARY AFRICAN ART
Jennifer Granholm,Spring 2002,A WORLD AT WAR
Jennifer Granholm,Spring 2002,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
John Kerry,Summer 2004,AMERICAN FOREIGN POLICY
John Kerry,Summer 2002,COMPUT LINEAR ALGEBRA
John Kerry,Summer 2001,Environmental Case Studies
John Kerry,Summer 2001,ART - from ancient to 1945
John Kerry,Summer 2002,A WORLD AT WAR
Deepak Chopra,Spring 2005,ABNORMAL PSYCHOLOGY
Deepak Chopra,Fall 2001,BEG RDG/WRTG CHINESE II
Deepak Chopra,Fall 2001,COMMUNITY MATH TEACH PRO
Deepak Chopra,Spring 2003,Business German A Micro Perspective
Deepak Chopra,Spring 2004,AFGHANISTAN & ISLAMISM: AFGHANISTAN & ISLAMISM
Deepak Chopra,Summer 2000,CONTEMPORARY AFRICAN ART
Deepak Chopra,Spring 2002,AESTHETICS
Milton Berle,Fall 2004,BIOLOGICAL CHEMISTRY II
Milton Berle,Spring 2003,ANTH OF GLOBAL LABOR: Anthropology of Global Labor
Milton Berle,Fall 2003,COMPUT LINEAR ALGEBRA
Milton Berle,Fall 2004,ANALYTICAL MECHANICS
Milton Berle,Spring 2003,CONTEMPORARY AFRICAN ART
Milton Berle,Spring 2001,EXPERIMENTAL WRITING SEM
Milton Berle,Spring 2002,AUGUSTAN CULTRL REVOL
Milton Berle,Fall 2003,ELEMENTARY FRENCH I
Milton Berle,Spring 2002,FRANCE & THE EUROP.UNION
N-ORalph Nader,Fall 2000,BEHAVIORAL PHARMACOLOGY
N-ORalph Nader,Fall 2002,AMERICAN FOREIGN POLICY
N-ORalph Nader,Spring 2002,ANTH OF GLOBAL LABOR: Anthropology of Global Labor
N-ORalph Nader,Fall 2001,COMPUT LINEAR ALGEBRA
N-ORalph Nader,Fall 2001,Environmental Case Studies
N-ORalph Nader,Fall 2003,ANALYTICAL MECHANICS
N-ORalph Nader,Spring 2002,CONTEMPORARY AFRICAN ART
N-ORalph Nader,Fall 2000,A WORLD AT WAR
N-ORalph Nader,Fall 2005,CELL BIOL & BIOCHEM
N-ORalph Nader,Fall 2002,EXPERIMENTAL WRITING SEM
N-ORalph Nader,Fall 2003,ELEMENTARY FRENCH I
N-ORalph Nader,Fall 2004,ELEMENTARY FRENCH II
N-ORalph Nader,Spring 2001,EARLY MESOPOTAM HIST - SOC
Randolph Mantooth,Summer 2004,COMPUT LINEAR ALGEBRA
Randolph Mantooth,Summer 2004,A WORLD AT WAR
Kim Hunter,Fall 2000,AMERICAN FOREIGN POLICY
Kim Hunter,Fall 2001,ANALYTICAL MECHANICS
Kim Hunter,Fall 2000,A WORLD AT WAR
Art Garfunkel,Fall 2000,FORMAL LOGIC I
Eva Marie Saint,Fall 2001,BEHAVIORAL PHARMACOLOGY
Eva Marie Saint,Spring 2004,AMERICAN FOREIGN POLICY
Eva Marie Saint,Spring 2002,COMPUT LINEAR ALGEBRA
Eva Marie Saint,Spring 2005,CONTEMPORARY POL.THOUGHT
Eva Marie Saint,Fall 2000,ANALYTICAL MECHANICS
Eva Marie Saint,Summer 2001,COMMUNICATIONS INTERNSHP
Eva Marie Saint,Fall 2001,A WORLD AT WAR
Eva Marie Saint,Summer 2001,EXPERIMENTAL WRITING SEM
Janet Leigh,Summer 2003,BEHAVIORAL PHARMACOLOGY
Janet Leigh,Summer 2001,FOOD/FEAST ARCH OF TABLE
Janet Leigh,Summer 2002,AMERICAN HEALTH POLICY
Janet Leigh,Spring 2004,COMPUT LINEAR ALGEBRA
Janet Leigh,Spring 2004,Environmental Case Studies
Janet Leigh,Spring 2005,ANALYTICAL MECHANICS
Janet Leigh,Summer 2004,CONTEMPORARY AFRICAN ART
Janet Leigh,Summer 2002,FRESHWATER ECOLOGY
Janet Leigh,Summer 2000,A WORLD AT WAR
Janet Leigh,Summer 2000,FR FOR PROFESSIONS I
Janet Leigh,Summer 2004,ELEMENTARY ARABIC II
Janet Leigh,Summer 2001,ELEMENTARY FRENCH I
Norman Lear,Summer 2004,BEHAVIORAL PHARMACOLOGY
Norman Lear,Summer 2004,COMPUT LINEAR ALGEBRA
George Mitchell,Summer 2004,COMPUT LINEAR ALGEBRA
George Mitchell,Summer 2003,BRITISH POETRY 1660-1914
Nadine Gordimer,Fall 2002,BEHAVIORAL PHARMACOLOGY
Nadine Gordimer,Fall 2003,EXPERIMENTAL WRITING SEM
Mayim Bialik,Spring 2005,COMPUT LINEAR ALGEBRA
Mayim Bialik,Spring 2005,Environmental Case Studies
Mayim Bialik,Spring 2004,ANALYTICAL MECHANICS
Anne Curry,Summer 2004,COMPUT LINEAR ALGEBRA
Joseph Brennan,Spring 2004,BEHAVIORAL PHARMACOLOGY
Joseph Brennan,Spring 2002,FOOD/FEAST ARCH OF TABLE
Joseph Brennan,Spring 2002,CREATIVE WRITING: CREAT. WRITE: FICT/POET
Joseph Brennan,Fall 2004,COMPUT LINEAR ALGEBRA
Joseph Brennan,Fall 2004,Environmental Case Studies
Joseph Brennan,Fall 2003,CONTEMP ART - 1945 to today
Joseph Brennan,Fall 2003,AMERICAN HEALT POLICY
Joseph Brennan,Fall 2002,ART - ancient to 1945
Joseph Brennan,Spring 2004,ANALYTICAL MECHANICS
Joseph Brennan,Spring 2005,CONTEMPORARY AFRICAN ART
Joseph Brennan,Spring 2001,A WORLD AT WAR
Joseph Brennan,Spring 2001,EVIDENCED BASED CRIME & JUSTICE POLICY
Joseph Brennan,Spring 2005,AUGUSTAN CULTRL REVOL
Thom Peters,Spring 2002,BEHAVIORAL PHARMACOLOGY
Thom Peters,Spring 2003,AMERICAN FOREIGN POLICY
Thom Peters,Spring 2004,BIOLOGICAL CHEMISTRY II
Thom Peters,Fall 2005,COMPUT LINEAR ALGEBRA
Thom Peters,Spring 2005,CONTEMPORARY POL.THOUGHT
Thom Peters,Spring 2001,Environmental Case Studies
Thom Peters,Summer 2000,ACCELERATED INTERMD GRMN
Thom Peters,Spring 2002,ANALYTICAL MECHANICS
Thom Peters,Summer 2001,CONTEMPORARY AFRICAN ART
Thom Peters,Spring 2001,A WORLD AT WAR
Thom Peters,Spring 2003,EXPERIMENTAL WRITING SEM
Thom Peters,Spring 2004,ELEMENTARY FRENCH I
Thom Peters,Summer 2000,BRITISH POETRY 1660-1914
Robert Mitchum,Fall 2004,FOOD/FEAST ARCH OF TABLE
Robert Mitchum,Fall 2001,ELEM MODERN HEBREW I
Robert Mitchum,Fall 2003,COMPUT LINEAR ALGEBRA
Robert Mitchum,Fall 2001,Environmental Case Studies
Robert Mitchum,Fall 2003,CONTEMPORARY AFRICAN ART
Robert Mitchum,Fall 2004,CEL BIO BIOCHEMISTRY
Robert Mitchum,Fall 2002,ELEMENTARY ARABIC II
Michael McGarrity,Fall 2004,BEHAVIORAL PHARMACOLOGY
Michael McGarrity,Spring 2003,FOOD/FEAST ARCH OF TABLE
Michael McGarrity,Spring 2002,COMPUT LINEAR ALGEBRA
Michael McGarrity,Spring 2001,Environmental Case Studies
Michael McGarrity,Summer 2000,BRITAIN SINCE 1945
Michael McGarrity,Spring 2005,"BEING HUMAN: Being Human: Biology, Culture & Human Diversity"
Michael McGarrity,Spring 2004,ANALYTICAL MECHANICS
Michael McGarrity,Summer 2001,COMMUNICATIONS INTERNSHP
Michael McGarrity,Fall 2003,A WORLD AT WAR
Michael McGarrity,Fall 2005,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
Henry Luce III,Fall 2000,ANALYTICAL MECHANICS
Henry Luce III,Fall 2005,CONTEMPORARY AFRICAN ART
Henry Luce III,Fall 2000,EXPERIMENTAL WRITING SEM
Henry Luce III,Fall 2004,ELEMENTARY ARABIC II
Diane Von Furstenburg,Summer 2001,Environmental Case Studies
Gene Kelly,Spring 2004,BEHAVIORAL PHARMACOLOGY
Gene Kelly,Spring 2005,AMERICAN FOREIGN POLICY
Gene Kelly,Spring 2002,COMPUT LINEAR ALGEBRA
Gene Kelly,Spring 2001,Environmental Case Studies
Gene Kelly,Summer 2003,ACCELERATED INTERMD GRMN
Gene Kelly,Spring 2003,ANALYTICAL MECHANICS
Gene Kelly,Summer 2004,CONTEMPORARY AFRICAN ART
Gene Kelly,Summer 2001,AESTHETICS
Gene Kelly,Spring 2002,A WORLD AT WAR
Gene Kelly,Spring 2005,CELL. BIOL. & BIOCHEM.
Gene Kelly,Summer 2000,EXPERIMENTAL WRITING SEM
Gene Kelly,Summer 2002,ELEMENTARY FRENCH I
Gene Kelly,Summer 2002,ELEMENTARY FRENCH II
Leeza Gibbons,Fall 2005,BEHAVIORAL PHARMACOLOGY
Leeza Gibbons,Spring 2001,FOOD/FEAST ARCH OF TABLE
Leeza Gibbons,Fall 2004,COMPUT LINEAR ALGEBRA
Leeza Gibbons,Fall 2004,Environmental Case Studies
Leeza Gibbons,Spring 2004,AFGHANISTAN & ISLAMISM: AFGHANISTAN & ISLAMISM
Leeza Gibbons,Spring 2001,ANALYTICAL MECHANICS
Leeza Gibbons,Spring 2002,20th Century Russian Literature: Fiction and Reality
Leeza Gibbons,Spring 2004,CONTEMPORARY AFRICAN ART
Leeza Gibbons,Fall 2001,A WORLD AT WAR
Leeza Gibbons,Spring 2003,EXPERIMENTAL WRITING SEM
Leeza Gibbons,Spring 2003,"EYE, MIND AND IMAGE"
Leeza Gibbons,Spring 2002,19TH-CENT BRITISH LIT
Leeza Gibbons,Summer 2001,Environmental Studies Research Seminar Junior Level
Jonathan Franzen,Fall 2003,Environmental Case Studies
Jonathan Franzen,Spring 2002,A WORLD AT WAR
Kathy Bates,Summer 2002,BEHAVIORAL PHARMACOLOGY
Kathy Bates,Summer 2002,AMERICAN FOREIGN POLICY
Kathy Bates,Summer 2002,ABNORMAL PSYCHOLOGY
Kathy Bates,Summer 2001,Environmental Case Studies
Kathy Bates,Summer 2001,A WORLD AT WAR
Kathy Bates,Summer 2001,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
Barry Zito,Spring 2001,BEHAVIORAL PHARMACOLOGY
Barry Zito,Spring 2002,FOOD/FEAST ARCH OF TABLE
Barry Zito,Fall 2005,COMPUT LINEAR ALGEBRA
Barry Zito,Fall 2004,Environmental Case Studies
Barry Zito,Spring 2005,"BEING HUMAN: Being Human: Biology, Culture & Human Diversity"
Barry Zito,Spring 2004,AFGHANISTAN & ISLAMISM: AFGHANISTAN & ISLAMISM
Barry Zito,Spring 2001,ANALYTICAL MECHANICS
Barry Zito,Summer 2000,CONTEMPORARY AFRICAN ART
Barry Zito,Spring 2002,FICTION WRITING WORKSHOP
Barry Zito,Fall 2005,A WORLD AT WAR
Barry Zito,Spring 2004,CELL and BIO and BIOCHEMISTRY
Barry Zito,Spring 2003,EXPERIMENTAL WRITING SEM
Barry Zito,Spring 2005,ELEMENTARY FRENCH I
Bob Newhart,Fall 2002,BEHAVIORAL PHARMACOLOGY
Bob Newhart,Fall 2003,AMERICAN FOREIGN POLICY
Bob Newhart,Fall 2000,ENVIRONMENTAL SYSTEMS II
Bob Newhart,Fall 2000,COMPUTER LINEAR ALGEBRA
Bob Newhart,Fall 2004,ECONOMETRICS
Bob Newhart,Fall 2001,ANALYTICAL MECHANICS
Bob Newhart,Fall 2005,CONTEMPORARY AFRICAN ART
Bob Newhart,Fall 2001,A WORLD AT WAR
Bob Newhart,Fall 2004,CEL BIO BIOCHEMISTRY
Bob Newhart,Fall 2003,CELL BIOLOGY & BIOCHEM
Arnold Palmer,Fall 2004,COMPUT LINEAR ALGEBRA
Arnold Palmer,Fall 2005,ECONOMETRICS
Jennifer Crusie,Fall 2003,BIOLOGICAL CHEMISTRY II
Jennifer Crusie,Fall 2001,FOOD/FEAST ARCH OF TABLE
Brook Adams,Fall 2003,AMERICAN FOREIGN POLICY
Brook Adams,Fall 2001,CONTEMP ART - 1945 to PRESENT
Brook Adams,Fall 2000,ART - from ancient to 1945
Brook Adams,Spring 2001,CONTEMPORARY AFRICAN ART
Brook Adams,Fall 2000,BECOMING HUMAN
Brook Adams,Fall 2001,19TH-CENT BRITISH LIT
Brook Adams,Fall 2003,ACCELERATED HINDI
Helen Hunt,Fall 2000,A WORLD AT WAR
Helen Hunt,Fall 2000,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
John Jakes,Summer 2001,FRANCE AND ITS OTHERS: Anthropology and French Modernism
John Jakes,Spring 2004,AMERICAN FOREIGN POLICY
John Jakes,Spring 2001,COMPUT LINEAR ALGEBRA
John Jakes,Spring 2001,Environmental Case Studies
John Jakes,Spring 2004,ANALYTICAL MECHANICS
John Jakes,Spring 2005,FR LIT OF THE 19TH C: STUDIES IN THE 19TH C.
John Jakes,Summer 2000,ANTHROPOLOGY AND CINEMA
John Jakes,Summer 2000,COMP POL. WELFARE STATE
John Jakes,Summer 2001,ARCHAEOL GREC-ROM RELIG
John Jakes,Summer 2002,APPLIED MUSIC
John Jakes,Summer 2004,AMERICA IN THE 1960S
John Jakes,Spring 2002,A WORLD AT WAR
Robert Parker,Summer 2001,BEHAVIORAL PHARMACOLOGY
Robert Parker,Summer 2001,AMERICAN FOREIGN POLICY
Robert Parker,Spring 2005,COMPUT LINEAR ALGEBRA
Robert Parker,Spring 2005,Environmental Case Studies
Robert Parker,Summer 2004,AMERICAN HEALT POLICY
Robert Parker,Summer 2003,"BEING HUMAN: Being Human: Biology, Culture & Human Diversity"
Robert Parker,Spring 2004,ANALYTICAL MECHANICS
Robert Parker,Summer 2003,BECOMING HUMAN
Robert Parker,Summer 2004,ELEMENTARY ARABIC II
Robert Parker,Summer 2002,ELEMENTARY FRENCH I
Robert Parker,Summer 2002,ELEMENTARY FRENCH II
Lee Child,Fall 2004,BEHAVIORAL PHARMACOLOGY
Mira Sorvino,Fall 2004,BEHAVIORAL PHARMACOLOGY
Mira Sorvino,Spring 2002,CREATIVE WRITING: WRITING PERSONAL ESSAY
Lee Child,Spring 2003,AMERICAN FOREIGN POLICY
Mira Sorvino,Fall 2005,FOOD/FEAST ARCH OF TABLE
Mira Sorvino,Summer 2001,CURR ISSUES GLOBAL HEALT
Mira Sorvino,Spring 2005,"ANTH & THE MODERN WORLD: Afghanistan, Iran, Pakistan"
Mira Sorvino,Spring 2004,ECONOMETRIC FORECASTING
Mira Sorvino,Spring 2001,CREATIVE WRITING: CREAT. WRITE: FICT/POET
Mira Sorvino,Summer 2002,CRIME AND DETECTION: Dark Deeds
Mira Sorvino,Summer 2000,AFRO AMER HIST 1876-PRES
Mira Sorvino,Summer 2002,FREEDOM OF EXPRESSION
Mira Sorvino,Summer 2002,DRAMATURGY
Mira Sorvino,Spring 2003,BEHAVIORAL ECON & PSYCH
Lee Child,Fall 2001,COMPUT LINEAR ALGEBRA
Mira Sorvino,Fall 2001,COMPUT LINEAR ALGEBRA
Lee Child,Spring 2005,CONTEMPORARY POL.THOUGHT
Lee Child,Fall 2005,Environmental Case Studies
Mira Sorvino,Fall 2004,Environmental Case Studies
Lee Child,Spring 2004,AMERICAN HEALT POLICY
Lee Child,Spring 2001,ART ancient to 1945
Mira Sorvino,Fall 2001,"EUR PRE-1800, BF SEM, UTOPIA"
Lee Child,Spring 2004,ANALYTICAL MECHANICS
Mira Sorvino,Fall 2002,ANALYTICAL MECHANICS
Mira Sorvino,Fall 2003,20th Century Russian Literature: Fiction and Reality
Lee Child,Spring 2005,CONTEMPORARY AFRICAN ART
Mira Sorvino,Spring 2001,CONTEMPORARY AFRICAN ART
Mira Sorvino,Spring 2002,AESTHETICS
Lee Child,Fall 2002,A WORLD AT WAR
Mira Sorvino,Fall 2001,A WORLD AT WAR
Mira Sorvino,Summer 2000,CREAT.NON-FICTION WRIT
Mira Sorvino,Fall 2005,DIGITAL MEDIA & THE CITY
Lee Child,Spring 2003,CELL BIOLOGY and BIOCHEMISTRY
Lee Child,Spring 2002,"BIBLE IN TRANSLATION: Proverbs, Ecclesiastes, and Job"
Lee Child,Spring 2001,EXPERIMENTAL WRITING SEM
Mira Sorvino,Spring 2003,EXPERIMENTAL WRITING SEM
Mira Sorvino,Fall 2002,19TH-CENT BRITISH LIT
Jack Nicklaus,Fall 2005,Environmental Case Studies
Jack Nicklaus,Fall 2004,A WORLD AT WAR
Jack Nicklaus,Fall 2004,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
RSally Jesse Raphael,Fall 2004,EXPERIMENTAL WRITING SEM: The Ecology of Poetry
Jack Nicklaus,Spring 2001,"Feminist Theory: Feminism, Activism, and the Body"
Jack Nicklaus,Fall 2005,ELEMENTARY GERMAN I
Deborah Norville,Fall 2002,BEHAVIORAL PHARMACOLOGY
Deborah Norville,Spring 2004,AMERICAN FOREIGN POLICY
Deborah Norville,Spring 2004,CURR ISSUES GLOBAL HEALT
Deborah Norville,Fall 2003,AMERICAN HEALTH POLICY
Deborah Norville,Fall 2003,COMPUT LINEAR ALGEBRA
Deborah Norville,Fall 2003,Environmental Case Studies
Deborah Norville,Spring 2004,BEHAVIORAL ECON & PSYCH
Deborah Norville,Fall 2000,ANALYTICAL MECHANICS
Deborah Norville,Fall 2003,CONTEMPORARY AFRICAN ART
Deborah Norville,Fall 2001,A WORLD AT WAR
Deborah Norville,Fall 2000,19TH-CENT BRITISH LIT
Bob Hope,Spring 2002,CURR ISSUES GLOBAL HEALT
Bob Hope,Fall 2005,COMPUT LINEAR ALGEBRA
Bob Hope,Fall 2000,ENVIRONMENTAL SYSTEMS II
Bob Hope,Spring 2002,CONTEMPORARY AFRICAN ART
Bob Hope,Spring 2001,CELL BIOLOGY and BIOCHEM
Bob Hope,Spring 2001,19TH-CENT BRITISH LIT
Bob Hope,Fall 2005,FRENCH PHONETICS
R. L. Stine,Spring 2004,BEHAVIORAL PHARMACOLOGY
R. L. Stine,Spring 2005,FOOD/FEAST ARCH OF TABLE
R. L. Stine,Summer 2004,ART & RELIGION
R. L. Stine,Summer 2003,ANALYTICAL MECHANICS
R. L. Stine,Summer 2002,CONTEMPORARY AFRICAN ART
R. L. Stine,Summer 2001,EXPERIMENTAL WRITING SEM
R. L. Stine,Summer 2001,ELEMENTARY FRENCH I
Bill Clinton,Fall 2001,BEHAVIORAL PHARMACOLOGY
Bill Clinton,Fall 2002,AMERICAN FOREIGN POLICY
Bill Clinton,Spring 2001,COMPUT LINEAR ALGEBRA
Bill Clinton,Fall 2001,Environmental Case Studies
Bill Clinton,Fall 2005,ANALYTICAL MECHANICS
Bill Clinton,Spring 2003,CONTEMPORARY AFRICAN ART
Bill Clinton,Fall 2001,A WORLD AT WAR
Bill Clinton,Fall 2003,BECOMING HUMAN
